ZIP code,City,State,Abbreviation,OpenEI
99546,Adak,Alaska,AK,NO
99571,Adak,Alaska,AK,NO
99615,Akhiok,Alaska,AK,YES
99551,Akiachak,Alaska,AK,NO
99552,Akiak,Alaska,AK,NO
99553,Akutan,Alaska,AK,YES
99554,Alakanuk,Alaska,AK,YES
99555,Aleknagik,Alaska,AK,NO
99720,Allakaket,Alaska,AK,YES
99786,Ambler,Alaska,AK,YES
99721,Anaktuvuk,Alaska,AK,YES
99721,Anaktuvuk Pass,Alaska,AK,YES
99505,Anch,Alaska,AK,YES
99556,Anchor Point,Alaska,AK,YES
99501,Anchorage,Alaska,AK,YES
99502,Anchorage,Alaska,AK,YES
99503,Anchorage,Alaska,AK,YES
99504,Anchorage,Alaska,AK,YES
99505,Anchorage,Alaska,AK,YES
99506,Anchorage,Alaska,AK,YES
99507,Anchorage,Alaska,AK,YES
99508,Anchorage,Alaska,AK,YES
99509,Anchorage,Alaska,AK,YES
99510,Anchorage,Alaska,AK,YES
99511,Anchorage,Alaska,AK,YES
99513,Anchorage,Alaska,AK,YES
99514,Anchorage,Alaska,AK,YES
99515,Anchorage,Alaska,AK,YES
99516,Anchorage,Alaska,AK,YES
99517,Anchorage,Alaska,AK,YES
99518,Anchorage,Alaska,AK,YES
99519,Anchorage,Alaska,AK,YES
99520,Anchorage,Alaska,AK,YES
99521,Anchorage,Alaska,AK,YES
99522,Anchorage,Alaska,AK,YES
99523,Anchorage,Alaska,AK,YES
99524,Anchorage,Alaska,AK,YES
99529,Anchorage,Alaska,AK,YES
99530,Anchorage,Alaska,AK,YES
99540,Anchorage,Alaska,AK,NO
99599,Anchorage,Alaska,AK,YES
99695,Anchorage,Alaska,AK,NO
99744,Anderson,Alaska,AK,YES
99820,Angoon,Alaska,AK,NO
99557,Aniak,Alaska,AK,YES
99558,Anvik,Alaska,AK,NO
99722,Arctic Village,Alaska,AK,NO
99547,Atka,Alaska,AK,YES
99559,Atmautluak,Alaska,AK,NO
99791,Atqasuk,Alaska,AK,YES
99821,Auke Bay,Alaska,AK,YES
99711,Badger,Alaska,AK,YES
99723,Barrow,Alaska,AK,YES
99734,Barrow,Alaska,AK,NO
99759,Barrow,Alaska,AK,YES
99789,Barrow,Alaska,AK,YES
99791,Barrow,Alaska,AK,YES
99724,Beaver,Alaska,AK,NO
99559,Bethel,Alaska,AK,NO
99637,Bethel,Alaska,AK,NO
99679,Bethel,Alaska,AK,NO
99680,Bethel,Alaska,AK,NO
99690,Bethel,Alaska,AK,NO
99726,Bettles,Alaska,AK,NO
99726,Bettles Field,Alaska,AK,NO
99652,Big Lake,Alaska,AK,YES
99785,Brevig Mission,Alaska,AK,YES
99727,Buckland,Alaska,AK,NO
99729,Cantwell,Alaska,AK,YES
99730,Central,Alaska,AK,NO
99788,Chalkyitsik,Alaska,AK,NO
99561,Chefornak,Alaska,AK,YES
99574,Chenega Bay,Alaska,AK,YES
99563,Chevak,Alaska,AK,YES
99674,Chickaloon,Alaska,AK,YES
99732,Chicken,Alaska,AK,NO
99548,Chignik,Alaska,AK,NO
99564,Chignik,Alaska,AK,NO
99565,Chignik Lagoon,Alaska,AK,NO
99548,Chignik Lake,Alaska,AK,NO
99615,Chiniak,Alaska,AK,YES
99566,Chitina,Alaska,AK,YES
99557,Chuathbaluk,Alaska,AK,YES
99567,Chugiak,Alaska,AK,YES
99733,Circle,Alaska,AK,NO
99568,Clam Gulch,Alaska,AK,YES
99569,Clarks Point,Alaska,AK,NO
99704,Clear,Alaska,AK,YES
99918,Coffman Cove,Alaska,AK,YES
99546,Cold Bay,Alaska,AK,NO
99571,Cold Bay,Alaska,AK,NO
99701,Coldfoot,Alaska,AK,YES
99572,Cooper Landing,Alaska,AK,YES
99572,Cooper Lndg,Alaska,AK,YES
99573,Copper Center,Alaska,AK,YES
99574,Cordova,Alaska,AK,YES
99677,Cordova,Alaska,AK,YES
99921,Craig,Alaska,AK,YES
99575,Crooked Creek,Alaska,AK,YES
99736,Deering,Alaska,AK,NO
99731,Delta Jct,Alaska,AK,YES
99737,Delta Jct,Alaska,AK,YES
99731,Delta Junction,Alaska,AK,YES
99737,Delta Junction,Alaska,AK,YES
99755,Denali National Park,Alaska,AK,YES
99755,Denali Park,Alaska,AK,YES
99576,Dillingham,Alaska,AK,NO
99762,Diomede,Alaska,AK,NO
99737,Dot Lake,Alaska,AK,YES
99824,Douglas,Alaska,AK,YES
99692,Dutch Harbor,Alaska,AK,NO
99738,Eagle,Alaska,AK,YES
99577,Eagle River,Alaska,AK,YES
99901,Edna Bay,Alaska,AK,YES
99950,Edna Bay,Alaska,AK,YES
99578,Eek,Alaska,AK,YES
99579,Egegik,Alaska,AK,NO
99702,Eielson AFB,Alaska,AK,YES
99580,Ekwok,Alaska,AK,NO
99825,Elfin Cove,Alaska,AK,YES
99739,Elim,Alaska,AK,YES
99506,Elmendorf AFB,Alaska,AK,YES
99581,Emmonak,Alaska,AK,YES
